FO 10Percentile,FO 90Percentile,FO Energy,FO Entropy,FO InterquartileRange,FO Kurtosis,FO Maximum,FO MeanAbsoluteDeviation,FO Mean,FO Median,FO Minimum,FO Range,FO RobustMeanAbsoluteDeviation,FO RootMeanSquared,FO Skewness,FO TotalEnergy,FO Uniformity,FO Variance,GLCM Autocorrelation,GLCM ClusterProminence,GLCM ClusterShade,GLCM ClusterTendency,GLCM Contrast,GLCM Correlation,GLCM DifferenceAverage,GLCM DifferenceEntropy,GLCM DifferenceVariance,GLCM Id,GLCM Idm,GLCM Idmn,GLCM Idn,GLCM Imc1,GLCM Imc2,GLCM InverseVariance,GLCM JointAverage,GLCM JointEnergy,GLCM JointEntropy,GLCM MCC,GLCM MaximumProbability,GLCM SumAverage,GLCM SumEntropy,GLCM SumSquares,GLDM DependenceEntropy,GLDM DependenceNonUniformity,GLDM DependenceNonUniformityNormalized,GLDM DependenceVariance,GLDM GrayLevelNonUniformity,GLDM GrayLevelVariance,GLDM HighGrayLevelEmphasis,GLDM LargeDependenceEmphasis,GLDM LargeDependenceHighGrayLevelEmphasis,GLDM LargeDependenceLowGrayLevelEmphasis,GLDM LowGrayLevelEmphasis,GLDM SmallDependenceEmphasis,GLDM SmallDependenceHighGrayLevelEmphasis,GLDM SmallDependenceLowGrayLevelEmphasis,GLRLM GrayLevelNonUniformity,GLRLM GrayLevelNonUniformityNormalized,GLRLM GrayLevelVariance,GLRLM HighGrayLevelRunEmphasis,GLRLM LongRunEmphasis,GLRLM LongRunHighGrayLevelEmphasis,GLRLM LongRunLowGrayLevelEmphasis,GLRLM LowGrayLevelRunEmphasis,GLRLM RunEntropy,GLRLM RunLengthNonUniformity,GLRLM RunLengthNonUniformityNormalized,GLRLM RunPercentage,GLRLM RunVariance,GLRLM ShortRunEmphasis,GLRLM ShortRunHighGrayLevelEmphasis,GLRLM ShortRunLowGrayLevelEmphasis,GLSZM GrayLevelNonUniformity,GLSZM GrayLevelNonUniformityNormalized,GLSZM GrayLevelVariance,GLSZM HighGrayLevelZoneEmphasis,GLSZM LargeAreaEmphasis,GLSZM LargeAreaHighGrayLevelEmphasis,GLSZM LargeAreaLowGrayLevelEmphasis,GLSZM LowGrayLevelZoneEmphasis,GLSZM SizeZoneNonUniformity,GLSZM SizeZoneNonUniformityNormalized,GLSZM SmallAreaEmphasis,GLSZM SmallAreaHighGrayLevelEmphasis,GLSZM SmallAreaLowGrayLevelEmphasis,GLSZM ZoneEntropy,GLSZM ZonePercentage,GLSZM ZoneVariance,NGTDM Busyness,NGTDM Coarseness,NGTDM Complexity,NGTDM Contrast,NGTDM Strength
69.1428802490234,290.878683471679,1925446.0367504700,-211066.0556631220,99.6441650390625,23.9884994764425,1506.46594238281,80.7128057157588,167.184233116081,136.090408325195,-314.74673461914,1821.21267700195,43.6436057564978,211.886337428657,3.57934587201353,10830.146119192700,2697906132.4145500,16945.2521863185,6.96217472677219,-6.69124743031631E-05,5.57769777441436,-2.94615595729575E+17,-0.00015656362468401700,0.83213535115828,-1.1141813348602900,-0.7782482406748020,-7.9097940028936E-10,-2.2523442480466100,-2.563727467143970,0.0009547722337604420,0.014818336005095500,-1.96562640687117E-06,-1.06067941404205E-16,-13797.895040066300,2.55674650163242,0.341035633926366,2.02314772474666,0.887252524885321,0.461142039037734,5.11349300326484,1.84598821713225,-7.75669544296031E+16,-209697.42248652000,0.11649277399068000,27636511412733.20,556169.9081812820,66178.04557535430,-6.83389948590302E-14,7.03174394896743,195.24214407205600,-1.88867919669418E+19,86.6221874116678,1.46017306075738E-06,-0.07714461132116020,-0.003629252212462430,4956974.053658180,17258.08335497020,252728123822647.62,-9731619.035662140,8.28197335870803,0.0006767983873839730,420.877844668668,0.00013991164544166600,1282059076.0701300,4.82601264393884,78926.03252017270,2.8422726881022300,3.1341773450734800,0.0003733915511817830,-0.22002460076583500,3.3584183304223,38870146306117.60,-2870623679976.5900,1909870336.10356,-0.0009476915211099290,11.0357142857142,0.0053665442041688,3867.7066222773200,0.0010570371009517000,1.30048638151935E-16,-4.99442760959048E+18,-0.09418161579964070,-0.12504656679680200,2.05725022483433,231509972.4777610,-1.93709252553026E-10,-0.08249789835082750,0.00522558359577217,141.0412682957250,702116.5337083030,5.43138785678005,-0.008386213101945910,-1346671342005695.5
68.9597343444824,246.576345825195,1913615.7671693200,-213433.5971635360,80.613130569458,24.5133396172642,1244.96813964843,64.9537364624254,148.365252631375,123.751445770263,-277.372314453125,1522.34045410156,35.0815238921418,181.839353297835,3.61624791564709,10763.60084751020,2918577802.4145500,11053.3022194031,7.93199735907248,-6.69131658566833E-05,4.24296756708222,-2.94779393258384E+17,-0.0001565634707871750,0.817093583553798,-1.1139638409476900,-0.7779210437081740,-7.91010365133878E-10,-2.2557874298007200,-2.566959301362070,0.0009542113385291690,0.014791960593833700,-1.84442714130733E-06,-1.15277237179868E-16,-13625.46810912040,2.74752400703472,0.357210602119122,2.00593308802758,0.890414477801039,0.518068282245984,5.49504801406945,1.8286698785269,-7.76079001049255E+16,-205951.82271135900,0.10949493995175300,20831282617425.100,559553.4752523580,66623.87420903630,-6.8382585107667E-14,8.01850132224398,194.95722158721300,-1.83504363696728E+19,71.1833189117223,1.19111956368783E-06,-0.07709587042537560,-0.003629220307695440,4988788.540786370,17332.19629202200,263212045328152.6,-9735160.939822940,8.74973301726427,0.0006723076016484900,524.051444680266,0.00010971476534410100,1155584342.0611700,4.81152359110439,78933.05682258920,2.8454862288178600,3.1410004447517900,0.0003787186707164630,-0.21989828648155800,3.40611780445056,37760095393153.90,-2718585753915.660,2479897068.754890,-0.000949443870775177,9.30172413793103,0.0036816688123706200,3691.6121390291100,0.0004977809201848950,1.50216862470931E-16,-4.98963948047445E+18,-0.0907566588996762,-0.10784913411124300,2.25432569959491,482142559.201159,-2.0538635449134E-10,-0.0824332479302374,0.003608115269852270,137.56195271518900,635045.2011036620,5.51200746321566,-0.008424187470807580,-1347602905919341.2
70.3087699890136,265.578289794921,1918570.8223490300,-214352.17268795400,87.4112358093261,24.7155344365587,1360.98791503906,71.3733954693449,156.751060414006,129.119140625,-267.111724853515,1628.09963989257,38.3674265832065,194.988731950047,3.66353434446957,10791.473035111100,2845636588.414560,13449.7106465721,6.71010261082759,-6.69123116523067E-05,5.88415725241601,-2.94637387653759E+17,-0.00015663214705814300,0.836411629233394,-1.1155143183102300,-0.7813725043417700,-7.91434284131537E-10,-2.235792494308400,-2.547156660553170,0.0009756155277196160,0.014966181131295800,-2.01632757840357E-06,-1.09339921063956E-16,-14450.971170863400,2.50774531018418,0.361437255309538,1.96309203708296,0.888566884508578,0.50805456937026,5.01549062036836,1.79276899534072,-7.75740528941999E+16,-219384.88586545900,0.1245067763325840,35429939950680.400,584078.3997734280,66476.50920392840,-6.83463676001669E-14,6.78745180370228,196.5394921433410,-1.89867199832222E+19,91.5102707125092,1.52161459930911E-06,-0.07712899312269440,-0.0036292472093041300,5039198.610553750,17220.106251907000,254001779871865.5,-9730576.866386900,8.23434439293136,0.0007358556067202560,428.920640896342,0.00015882205779828400,1297947514.2581900,4.83037043183902,78894.71260573290,2.833376891531660,3.105286812723200,0.0004135886847138530,-0.2198478881832610,3.42185718790301,38088245240178.80,-2809096646051.6300,2414514827.4780100,-0.0009501513805369710,11.0333333333333,0.005168548596496210,3541.587783889400,0.0010767130253001500,1.10376068188733E-16,-4.99373915800928E+18,-0.09383263135515490,-0.12075484802643100,2.24054009915039,206738105.33365000,-2.15103169576709E-10,-0.08248577639696690,0.005045854553985190,140.41846873158800,775115.290529846,5.21236337033027,-0.008415204700589240,-1346064415640242.0
69.7353057861328,273.831262207031,1920928.6689509000,-210314.6780116390,91.4268054962158,24.677899694947,1426.27392578125,74.664144504902,160.247311588404,131.045944213867,-319.950561523437,1746.22448730468,40.1611692773304,200.943903090789,3.66274535693951,10804.735923300700,2696280680.414560,14699.2513180495,7.59334290776551,-6.69129037983696E-05,4.73244483775476,-2.94689950259966E+17,-0.0001564715992171670,0.817248192225602,-1.1122606613861100,-0.7738661626185110,-7.90390565085583E-10,-2.2766789893372000,-2.587936254709950,0.0009265283569539970,0.014603896457199700,-1.77847075119735E-06,-1.133386903285E-16,-12811.997158885500,2.68132716568455,0.331246487881187,2.06116125343898,0.88975970039969,0.451984596147052,5.36265433136911,1.87487267259691,-7.75833264647577E+16,-196462.10989746200,0.10180821981257900,13356128313736.800,592894.9246336330,66174.76163299650,-6.83570446002872E-14,7.6839433150978,193.4648029937520,-1.85893539682097E+19,75.1909805885693,1.28230638756832E-06,-0.07707518586695050,-0.003629212604872540,5122797.868775460,17367.766120587200,260006452336029.84,-9735454.690366830,8.54710563032522,0.0006061629159416480,441.486346978912,0.00010866150441985400,1196836926.7806000,4.76758683762287,78982.06576463300,2.869587947049030,3.1776799390998300,0.0003392093413537080,-0.21849519493910900,3.41924564970009,39118691387172.80,-2755162690432.300,2190139925.2727700,-0.000949524739548812,10.191304347826,0.003378506753353150,3282.355929594960,0.0005030305586045200,1.30963977000935E-16,-4.99224708786372E+18,-0.0952341232470156,-0.11987920679304900,2.25502267554714,213358147.7518380,-1.7937617767493E-10,-0.08243526825588090,0.003303655134235910,141.30718249392600,562043.917443304,5.83086495321426,-0.008368609844897550,-1347808667161114.0
68.767374420166,252.913723754882,1915210.4625733000,-210869.40880305800,83.3894157409668,24.5976260599867,1282.15234375,67.249362032115,150.974229119167,125.121997833251,-261.81655883789,1543.96890258789,36.4470811033906,186.172623690372,3.64192033712411,10772.571009870500,2660196330.4145600,11867.02795363,7.10222264643514,-6.69125689683357E-05,5.36264363967675,-2.94635592312643E+17,-0.00015659050102277700,0.832790142649909,-1.1145485316474200,-0.7791814361496180,-7.9117340150977E-10,-2.248350514103720,-2.559548642307480,0.0009626101837686560,0.014857400228184900,-1.9974905355342E-06,-1.04166547940539E-16,-13925.33544504240,2.58485504210009,0.337319172186504,2.01907656311044,0.892240837406754,0.433640727908179,5.16971008420019,1.84491061382932,-7.75726009399075E+16,-207823.4314806550,0.1154588864467420,26631080125568.400,550030.9236646580,66101.85949536460,-6.83445965938738E-14,7.19158406847407,195.4934038910280,-1.87962804936888E+19,84.4333574935078,1.4120790947091E-06,-0.07711804423179470,-0.003629235156027580,4925266.978202800,17262.094429997600,255647164071660.66,-9732896.918376110,8.3892124310108,0.0006722601899696880,437.908411096128,0.00013342698762531700,1246220228.8347100,4.82188042976553,78907.74387406260,2.832896508079080,3.1280214273989400,0.00037307838142628100,-0.22060029405304300,3.38307619995041,37012234470797.70,-2823950304067.2900,2151911533.495150,-0.0009492346932485330,10.505376344086,0.0037879281960825200,3270.348571159450,0.0006542748983499930,1.29662502764933E-16,-4.99357463869608E+18,-0.09407275036110940,-0.11340015246455500,2.56490089672224,256143324.64884400,-1.93503733147498E-10,-0.08247971542003660,0.003673070640769770,140.36523828304500,688475.2024418520,5.42998480697241,-0.008393825240909340,-1346774061736777.8
62.2043697357177,203.481138610839,1903291.915549970,-223972.71542213500,66.4340419769287,22.4973142424218,937.665771484375,50.3856054951036,128.072724507046,111.401878356933,-133.392807006835,1071.05857849121,28.4973880581713,150.803510530834,3.36914246558846,10705.529177536200,3395927066.4145600,6339.07602576564,6.11927173392282,-6.6912096129597E-05,6.28820157382077,-2.94750919275033E+17,-0.00015693482948157400,0.855378481407363,-1.1214633004860200,-0.7967496200686880,-7.93561912305576E-10,-2.1617146211748800,-2.4730405298242200,0.001067805193034410,0.015626648146422100,-2.38528827796207E-06,-1.11481979791109E-16,-17382.24189651860,2.39157524838731,0.442014910085019,1.75603194731485,0.895139673249218,0.619714171054645,4.78315049677462,1.61580362468211,-7.76097264453457E+16,-263527.0836968630,0.17439136279021400,83941525437716.8,533576.2046061760,67588.27516797330,-6.83787881014092E-14,6.22096614651674,202.13275156525300,-1.91219072447953E+19,105.55815471281,1.67745820326175E-06,-0.07720223970354770,-0.003629286960319310,4798883.054550560,17026.81612239200,255500398808541.4,-9726926.582191180,8.10151807785343,0.0011064278648831300,553.277399410511,0.00025836465493785700,1366109818.6378000,4.93222170060585,78743.71190046560,2.7645035613403600,2.9753026909378100,0.0006534230525530000,-0.22315084790855400,3.37377930152166,34908589298378.2,-2816170151597.83,2558126626.3269200,-0.0009501061710175060,11.3928571428571,0.006195688116612430,3638.875774940500,0.001420059286168330,1.19653397221589E-16,-4.99537693183809E+18,-0.09650775850222850,-0.12271901907140700,2.10062377210984,282693286.0248470,-1.9487562712689E-10,-0.08249789835082750,0.006054727508215790,132.40313857270300,1187809.9743256000,4.22754831719155,-0.008535671371141090,-1343134615571138.2
58.954341506958,193.788940429687,1900939.9954160900,-229578.24190946800,64.4117164611816,21.2750514622586,860.438110351562,47.6261736665581,122.059292522065,106.867210388183,-104.046333312988,964.48444366455,27.4959691061072,142.792782221468,3.23364654969211,10692.299625731800,3761789418.414560,5491.30776356032,5.85978596697804,-6.69117625132552E-05,6.63410364427871,-2.94802929664825E+17,-0.00015703926658154300,0.861643520193716,-1.1236474843809700,-0.8028288386474430,-7.94321899686638E-10,-2.1340701876337300,-2.445510736505720,0.0010999418494166900,0.015870500661409700,-2.48291971411224E-06,-1.18580181198225E-16,-18498.030493716600,2.33900147156968,0.488907846283998,1.65582908451839,0.897875586079829,0.669381801015671,4.67800294313937,1.52572524169325,-7.76252445965497E+16,-283071.3111321860,0.1947652630092240,103754663570441.16,492974.9244721340,68327.43625968860,-6.83932628135651E-14,5.96110987746532,204.2310213720190,-1.91969249088512E+19,111.832113841962,1.7602735045519E-06,-0.0771856779414142,-0.003629284571956060,5503960.726479840,16961.08214966420,256408733647329.75,-9722867.550678500,8.01177729262651,0.0013251571028233300,620.945146648455,0.0003189797701999300,1433000243.5780600,4.97321627355633,78691.51939076320,2.7410294993732000,2.9266177994866500,0.0008092442045868940,-0.22432187715935800,3.35579933846569,35765520549937.100,-2684688345921.8900,2931894664.0228600,-0.0009502130223207800,10.1711711711711,0.00503915604092764,2958.121691562140,0.0011930711617795500,1.73982684442744E-16,-4.98967286309253E+18,-0.08983625574242010,-0.10416719136846600,2.64521142759809,618152925.2225050,-2.09411155707185E-10,-0.08244334955845460,0.004958756545215660,129.1005911890870,1426030.7473014000,3.83880487026326,-0.008580130813095630,-1341562731431294.5
60.5207378387451,193.165365600585,1900639.4071471000,-231543.91374434800,63.493423461914,20.3595734515109,822.506896972656,46.6658213324645,122.097255706618,107.035720825195,-83.4438552856445,905.9507522583,27.2133738687137,141.736341089905,3.15746918105512,10690.608816584300,4003901382.414550,5181.45053446685,5.67647668044693,-6.69114843772593E-05,6.92152640145186,-2.94812217842966E+17,-0.00015704753311384100,0.861746014737542,-1.123784108794920,-0.8031426805367240,-7.94383519221794E-10,-2.132391292882390,-2.443860562055730,0.001102297442459400,0.01588547422449760,-2.39475626161141E-06,-1.2680754359202E-16,-18568.36545601040,2.29995743013241,0.515691247845938,1.63241327672083,0.899507620056452,0.696704322366159,4.59991486026482,1.50300840140036,-7.76277657552539E+16,-286312.8187812780,0.19469944327156700,103690655425705.02,524317.110636012,68816.58126914170,-6.83954307508412E-14,5.77532955164826,204.4175742012830,-1.92805193668061E+19,115.198316300095,1.85029337201887E-06,-0.0771649058664043,-0.0036292934796941200,7247380.518920000,16937.480911909300,249264752342419.94,-9717383.006197480,7.82014496489407,0.0013735784196806100,620.704992245033,0.00033742129585541100,1602228274.6708300,5.00371558367202,78696.58057246940,2.7516139161384400,2.9238831290641300,0.0008658674499468220,-0.2232808274205030,3.3209461306108,46082635344489.600,-2726227187710.150,2048871045.5685700,-0.0009466017839966180,8.57251908396946,0.004480057302761920,2650.020580529460,0.0010775905186036500,3.09753534421745E-16,-4.98882712090346E+18,-0.0919772846463215,-0.11027186256548100,1.96812198573707,982659291.8145370,-1.68785338535289E-10,-0.08240294304558580,0.00442254838788383,128.63149689291100,1487335.5532986500,3.81334242915495,-0.008584220460938400,-1341205670023735.2
61.5879371643066,195.608016967773,1901263.4655106300,-232765.01667431800,64.3108329772949,21.1209368847773,851.327880859375,47.3377244852109,123.831887036919,108.519645690917,-92.6117401123046,943.939620971679,27.5448608198349,143.920980920385,3.22589977590243,10694.119145158100,3977597764.4145500,5378.91250196152,5.71104364544798,-6.69117280791954E-05,6.70154682230784,-2.94845226242437E+17,-0.00015707676350514800,0.862092789675401,-1.124331449657690,-0.8048770442238150,-7.94612775798054E-10,-2.125740267885840,-2.4371202516201700,0.0011112437644278100,0.015945878715054700,-2.44552549022164E-06,-1.275507110833E-16,-18818.16581212400,2.30913986866849,0.514883049530121,1.60624493475845,0.899474140966256,0.69430671078581,4.61827973733698,1.48036063661378,-7.76367219212119E+16,-290931.3769016170,0.20216689210820600,110952573551784.34,506258.59094366100,68763.43939518100,-6.84036847732904E-14,5.81578416133395,204.9079638040640,-1.92515544413168E+19,114.724873861049,1.81162881063677E-06,-0.07719328523579350,-0.003629301988196570,6577713.643330750,16938.25041533930,254830389590553.5,-9720763.262042560,7.91366687224151,0.0014465778732287800,656.210978814798,0.0003532245615137860,1505192227.565750,4.98083322448254,78683.56525220290,2.742882495854550,2.912211322962900,0.0009127970209863430,-0.22400593835984200,3.337721273705,39795656973192.700,-2722028724782.740,2291600667.408640,-0.0009471579659830180,8.94262295081967,0.0047500315081677200,2780.688241649200,0.0011383947318820500,2.79770518445478E-16,-4.99190190377855E+18,-0.09564608807170330,-0.11663985206470200,1.55700765898189,1088355764.7277800,-1.62223929638991E-10,-0.08242112597637680,0.004683608015522170,128.2157341193730,1505438.8263082200,3.73617472088904,-0.008596628719880290,-1340992612921806.5
105.53112335205,252.956762695312,1893494.2184066800,-156943.9821630810,73.1620178222656,3.64159248978447,526.084533691406,45.7782779038384,178.953386743816,175.956985473632,-20.1365318298339,546.22106552124,30.7274551266493,188.426452746203,0.377145502621876,10650.422989525600,1437230217.6454300,3480.21346743509,12.567130737651,-6.5318180492715E-05,1.76550759201812,-3.04504217649365E+17,-0.00015325912572790100,0.798618737956057,-1.0869549693890000,-0.7267264537045030,-7.64219064604324E-10,-2.570381368504120,-2.8859978348047900,0.0005177706504428260,0.011935216552488500,-1.16841584982551E-06,-7.56039028654605E-17,-1947.0326252275300,3.45478391695125,0.19306332586993,2.96203497026214,0.801455302814583,0.326883832671157,6.90956783390251,2.61303926708237,-8.01473370902203E+16,-88043.88310022770,0.04070114858773620,-47890184186846.40,643284.311791278,63572.30077990560,-6.55877568347951E-14,12.4726806745315,173.2827477821950,-1.82468324948708E+19,36.703860931679,7.47667541079725E-07,-0.07634243202992810,-0.0035849876778600500,9141000.123727640,17273.38723493160,142933062431844.0,-9824468.854715740,12.8274906892206,0.00023129797338652700,278.069237773167,3.47909084755984E-05,834681153.2286200,4.70965457693304,79843.56739595510,3.250114529370660,3.6891118751540800,0.00013117858612465200,-0.1986094163920750,5.91072485839139,45620274989685.20,-2408434699895.960,1114501579.8681400,-0.0009205459338005220,16.69,0.0008093925000388070,1611.602741901630,8.76206911354246E-05,1.37604720588639E-16,-5.13258847590974E+18,-0.08578974589039250,-0.09998972621515710,5.81877872311599,458689011.160501,-1.07163376895446E-10,-0.08178336535140070,0.000803887056414013,141.3637176127080,445317.91187450100,7.58149733486555,-0.007442611952378880,-1401967959092337.5
