Model
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
basal
basal
basal
basal
basal
basal
basal
basal
basal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
basal
basal
basal
basal
basal
basal
basal
basal
basal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
basal
basal
basal
basal
basal
basal
basal
basal
basal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
basal
basal
basal
basal
basal
basal
basal
basal
basal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
basal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
basal
basal
basal
basal
basal
basal
basal
basal
basal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
luminal
basal
basal
basal
basal
basal
basal
basal
basal
basal
luminal
